model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
mlp,preReweighing posCalibrated,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.121212121,-0.166277453,-0.23071861,0.183131407,0.120698278,1
lgbm,posCalibrated,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.348484848,-0.344467612,-0.367859963,0.247036638,0.106613373,1
lr,preReweighing posROC,0.729878049,0.825396825,0.394736842,0.6,0.476190476,0.172690905,-0.303030303,-0.243341674,-0.240326402,0.125478927,0.091324715,1
tabnet,posCalibrated,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.484848485,-0.5500139,-0.625690971,0.09928003,0.091708032,1
tabtransformer,posEqqOds,0.684878049,0.62962963,0.228915663,0.76,0.351851852,0.175019186,-0.484848485,-0.522324159,-0.583837852,0.055768412,0.091560456,1
tabtransformer,posCalibrated,0.669268293,0.661375661,0.232876712,0.68,0.346938776,0.179489671,-0.393939394,-0.440172366,-0.507501974,0.063623118,0.101250098,1
mlp,preReweighing posROC,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.121212121,-0.166277453,-0.23071861,0.183131407,0.120698278,1
tabtransformer,posROC,0.683170732,0.656084656,0.236842105,0.72,0.356435644,0.178888622,-0.439393939,-0.472073951,-0.530402738,0.061043802,0.096129229,1
xgb,posCalibrated,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.257575758,-0.294259105,-0.348907607,0.198124622,0.115646216,1
lgbm,preDisparate posCalibrated,0.694634146,0.793650794,0.333333333,0.56,0.417910448,0.166064228,-0.257575758,-0.216194051,-0.221110819,0.237749546,0.102299206,1
cat,posROC,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
lr,posROC,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.393939394,-0.426410898,-0.484601211,0.06643002,0.100415648,1
